sterlicht.nl: 2014-05-01 00:01:45 [access] ip: 66.249.67.157, browser --> www.sterlicht.nl/astroblogs/slAb055_venus_klein.html
sterlicht.nl: 2014-05-01 00:22:41 [access] ip: 157.55.34.105, browser --> www.sterlicht.nl/introduction.html
sterlicht.nl: 2014-05-01 00:50:52 [access] ip: 157.55.34.173, browser --> www.sterlicht.nl/astroblogs/slAb059_reizigers.html
sterlicht.nl: 2014-05-01 00:53:21 [access] ip: 66.249.67.157, browser --> www.sterlicht.nl/slAb042_mars.html
sterlicht.nl: 2014-05-01 01:24:18 [access] ip: 66.249.67.221, browser --> www.sterlicht.nl/contact.html



sterlicht.nl: 2014-05-01 02:15:26 [initialization] application restarted
sterlicht.nl: 2014-05-01 02:15:26 [initialization] table users already exists
sterlicht.nl: 2014-05-01 02:15:26 [access] ip: 157.55.35.49, browser --> www.sterlicht.nl/astroblogs/slAb057_basisbegrippen.html
sterlicht.nl: 2014-05-01 02:59:25 [access] ip: 157.56.92.160, browser --> www.sterlicht.nl/astroblogs/slAb057_basisbegrippen.html
sterlicht.nl: 2014-05-01 03:51:21 [access] ip: 66.249.67.221, browser --> www.sterlicht.nl/astroblogs/slAb007_pegasus.html
sterlicht.nl: 2014-05-01 05:34:12 [access] ip: 66.249.67.221, browser --> www.sterlicht.nl/astroblogs/slAb045_mars_alh.html
sterlicht.nl: 2014-05-01 08:21:35 [access] ip: 157.55.33.123, browser --> www.sterlicht.nl/astroblogs/slAb061_komeet.html
sterlicht.nl: 2014-05-01 08:40:48 [access] ip: 66.249.67.157, browser --> www.sterlicht.nl/astrosketches.html
sterlicht.nl: 2014-05-01 09:33:17 [access] ip: 157.55.33.123, browser --> www.sterlicht.nl/astroblogs/slAb067_de_mooiste_planeet.html
sterlicht.nl: 2014-05-01 09:36:21 [access] ip: 66.249.67.157, browser --> www.sterlicht.nl/astroblogs/slAb023_wassende_maan.html
sterlicht.nl: 2014-05-01 09:48:23 [access] ip: 157.55.33.41, browser --> www.sterlicht.nl/astroblogs/slAb014_zoekplaatje.html
sterlicht.nl: 2014-05-01 10:27:28 [access] ip: 66.249.67.221, browser --> www.sterlicht.nl/astroblogs/slAb059_reizigers.html
sterlicht.nl: 2014-05-01 10:45:48 [access] ip: 66.249.67.189, browser --> www.sterlicht.nl/slAstroSketches.html
sterlicht.nl: 2014-05-01 10:56:09 [access] ip: 66.249.67.221, browser --> www.sterlicht.nl/astroblogs/slAb010_oude_reuzen.html
sterlicht.nl: 2014-05-01 11:43:58 [access] ip: 66.249.67.157, browser --> www.sterlicht.nl/slStructure.html
sterlicht.nl: 2014-05-01 11:46:49 [access] ip: 66.249.67.189, browser --> www.sterlicht.nl/astroblogs/slAb017_zonnewijzer.html
sterlicht.nl: 2014-05-01 11:58:25 [access] ip: 66.249.67.221, browser --> www.sterlicht.nl/physicslessons.html
sterlicht.nl: 2014-05-01 12:03:48 [access] ip: 66.249.66.43, browser --> www.sterlicht.nl/slStructure.html
sterlicht.nl: 2014-05-01 12:13:13 [access] ip: 66.249.67.157, browser --> www.sterlicht.nl/astroblogs/slAb038_galileoscope.html
sterlicht.nl: 2014-05-01 12:17:25 [access] ip: 157.55.33.41, browser --> www.sterlicht.nl/astroblogs/slAb013_m37.html
sterlicht.nl: 2014-05-01 12:20:31 [access] ip: 199.30.20.15, browser --> www.sterlicht.nl/astroblogs/slAb047_msl.html
sterlicht.nl: 2014-05-01 12:23:50 [access] ip: 66.249.67.189, browser --> www.sterlicht.nl/astrolessons.html
sterlicht.nl: 2014-05-01 13:09:13 [access] ip: 37.58.100.93, browser --> www.sterlicht.nl/
sterlicht.nl: 2014-05-01 13:11:36 [access] ip: 157.55.33.182, browser --> www.sterlicht.nl/astroblogs/slAb028_m3.html
sterlicht.nl: 2014-05-01 13:13:37 [access] ip: 66.249.67.189, browser --> www.sterlicht.nl/astroblogs/slAb004_cassiopeia.html
sterlicht.nl: 2014-05-01 13:14:44 [access] ip: 66.249.67.189, browser --> www.sterlicht.nl/astroblogs.html
sterlicht.nl: 2014-05-01 13:20:02 [access] ip: 66.249.67.189, browser --> www.sterlicht.nl/astroblogs/slAbTableOfContents.html
sterlicht.nl: 2014-05-01 13:57:59 [access] ip: 66.249.67.157, browser --> www.sterlicht.nl/astroblogs/slAb032_ringnevel.html
sterlicht.nl: 2014-05-01 14:06:00 [access] ip: 66.249.67.221, browser --> www.sterlicht.nl/astroblogs/slAb071_jupiter_maan.html
