


sterlicht.nl: 2014-11-01 02:29:10 [initialization] application restarted
sterlicht.nl: 2014-11-01 02:29:10 [initialization] table users already exists
sterlicht.nl: 2014-11-01 02:29:15 [access] ip: 207.46.13.55, browser --> www.sterlicht.nl/slAb014_zoekplaatje.html
sterlicht.nl: 2014-11-01 03:55:08 [access] ip: 178.255.215.73, browser --> www.sterlicht.nl/
sterlicht.nl: 2014-11-01 09:58:14 [access] ip: 192.99.107.118, browser --> www.sterlicht.nl/
sterlicht.nl: 2014-11-01 15:29:22 [access] ip: 157.55.39.21, browser --> www.sterlicht.nl/slAb040_astro_nl.html
sterlicht.nl: 2014-11-01 19:10:51 [access] ip: 207.46.13.33, browser --> www.sterlicht.nl/introduction.html
sterlicht.nl: 2014-11-01 19:10:55 [access] ip: 157.55.39.35, browser --> www.sterlicht.nl/
sterlicht.nl: 2014-11-01 20:06:40 [access] ip: 207.46.13.24, browser --> www.sterlicht.nl/astroblogs/slAb006_volle_maan.html
sterlicht.nl: 2014-11-01 20:07:25 [access] ip: 66.249.67.2, browser --> www.sterlicht.nl/
sterlicht.nl: 2014-11-01 20:12:16 [access] ip: 207.46.13.24, browser --> www.sterlicht.nl/structure.html
sterlicht.nl: 2014-11-01 20:41:05 [access] ip: 207.46.13.33, browser --> www.sterlicht.nl/slAstroSketches.html
sterlicht.nl: 2014-11-01 20:50:57 [access] ip: 207.46.13.33, browser --> www.sterlicht.nl/slAb041_eris.html
sterlicht.nl: 2014-11-01 21:46:00 [access] ip: 91.108.69.48, browser --> www.sterlicht.nl/astroblogs/slAb015_sirius.html
sterlicht.nl: 2014-11-01 22:07:02 [access] ip: 66.249.67.20, browser --> www.sterlicht.nl/astroblogs/slAb023_wassende_maan.html
sterlicht.nl: 2014-11-01 22:37:13 [access] ip: 157.55.39.1, browser --> www.sterlicht.nl/slAb068_zonnevlekken.html
sterlicht.nl: 2014-11-01 22:43:58 [access] ip: 66.249.67.20, browser --> www.sterlicht.nl/astroblogs/slAb055_venus_klein.html
sterlicht.nl: 2014-11-01 23:01:21 [access] ip: 216.107.155.114, browser --> www.sterlicht.nl/
sterlicht.nl: 2014-11-02 00:02:07 [access] ip: 66.249.67.20, browser --> www.sterlicht.nl/astroblogs/slAb050_magelhaense_wolken.html
sterlicht.nl: 2014-11-02 00:39:22 [access] ip: 66.249.67.12, browser --> www.sterlicht.nl/astroblogs/slAb002_zomerdriehoek.html



sterlicht.nl: 2014-11-02 02:21:11 [initialization] application restarted
sterlicht.nl: 2014-11-02 02:21:11 [initialization] table users already exists
sterlicht.nl: 2014-11-02 02:21:11 [access] ip: 66.249.67.20, browser --> www.sterlicht.nl/astroblogs/slAb010_oude_reuzen.html
sterlicht.nl: 2014-11-02 03:08:27 [access] ip: 207.46.13.100, browser --> www.sterlicht.nl/slAb026_chara.html
sterlicht.nl: 2014-11-02 03:35:15 [access] ip: 66.249.67.20, browser --> www.sterlicht.nl/astroblogs/slAb023_wassende_maan.html
sterlicht.nl: 2014-11-02 04:45:38 [access] ip: 66.249.67.12, browser --> www.sterlicht.nl/astroblogs.html
sterlicht.nl: 2014-11-02 04:57:30 [access] ip: 66.249.67.20, browser --> www.sterlicht.nl/
sterlicht.nl: 2014-11-02 05:31:22 [access] ip: 207.46.13.24, browser --> www.sterlicht.nl/astroblogs/slAb006_volle_maan.html
sterlicht.nl: 2014-11-02 05:36:54 [access] ip: 66.249.67.20, browser --> www.sterlicht.nl/astroblogs/slAb050_magelhaense_wolken.html
sterlicht.nl: 2014-11-02 06:39:35 [access] ip: 66.249.67.20, browser --> www.sterlicht.nl/astroblogs/slAb002_zomerdriehoek.html
sterlicht.nl: 2014-11-02 06:50:04 [access] ip: 66.249.67.2, browser --> www.sterlicht.nl/astroblogs/slAb070_jupiter2011.html
sterlicht.nl: 2014-11-02 09:39:23 [access] ip: 207.46.13.55, browser --> www.sterlicht.nl/slPresentations.html
sterlicht.nl: 2014-11-02 15:14:08 [access] ip: 66.249.67.20, browser --> www.sterlicht.nl/stargazing.html
sterlicht.nl: 2014-11-02 18:36:52 [access] ip: 157.55.39.1, browser --> www.sterlicht.nl/
sterlicht.nl: 2014-11-02 18:37:03 [access] ip: 157.55.39.211, browser --> www.sterlicht.nl/introduction.html
sterlicht.nl: 2014-11-02 19:13:55 [access] ip: 207.46.13.100, browser --> www.sterlicht.nl/structure.html
sterlicht.nl: 2014-11-02 20:37:49 [access] ip: 66.249.67.2, browser --> www.sterlicht.nl/
sterlicht.nl: 2014-11-03 00:09:15 [access] ip: 66.249.67.12, browser --> www.sterlicht.nl/astroblogs/slAb002_zomerdriehoek.html



sterlicht.nl: 2014-11-03 02:10:49 [initialization] application restarted
sterlicht.nl: 2014-11-03 02:10:49 [initialization] table users already exists
sterlicht.nl: 2014-11-03 02:10:49 [access] ip: 66.249.67.2, browser --> www.sterlicht.nl/astroblogs.html
sterlicht.nl: 2014-11-03 03:12:58 [access] ip: 66.249.67.12, browser --> www.sterlicht.nl/astroblogs/slAb023_wassende_maan.html
sterlicht.nl: 2014-11-03 03:43:42 [access] ip: 66.249.67.2, browser --> www.sterlicht.nl/physicslessons.html
sterlicht.nl: 2014-11-03 03:56:08 [access] ip: 66.249.67.2, browser --> www.sterlicht.nl/slAstroSketches.html
sterlicht.nl: 2014-11-03 04:24:46 [access] ip: 66.249.67.2, browser --> www.sterlicht.nl/introduction.html
sterlicht.nl: 2014-11-03 04:48:32 [access] ip: 66.249.67.2, browser --> www.sterlicht.nl/astroblogs/slAb007_pegasus.html
sterlicht.nl: 2014-11-03 04:48:40 [access] ip: 207.46.13.55, browser --> www.sterlicht.nl/slIntroduction.html
sterlicht.nl: 2014-11-03 05:50:53 [access] ip: 66.249.67.12, browser --> www.sterlicht.nl/stargazing.html
sterlicht.nl: 2014-11-03 06:18:32 [access] ip: 207.46.13.55, browser --> www.sterlicht.nl/slAb014_zoekplaatje.html
sterlicht.nl: 2014-11-03 06:32:51 [access] ip: 66.249.67.2, browser --> www.sterlicht.nl/astroblogs/slAb055_venus_klein.html
sterlicht.nl: 2014-11-03 07:12:12 [access] ip: 66.249.67.20, browser --> www.sterlicht.nl/astroblogs/slAb023_wassende_maan.html
sterlicht.nl: 2014-11-03 07:55:35 [access] ip: 66.249.67.12, browser --> www.sterlicht.nl/introduction.html
sterlicht.nl: 2014-11-03 08:35:13 [access] ip: 66.249.67.20, browser --> www.sterlicht.nl/
sterlicht.nl: 2014-11-03 08:39:37 [access] ip: 66.249.67.20, browser --> www.sterlicht.nl/introduction.html
sterlicht.nl: 2014-11-03 08:55:12 [access] ip: 66.249.67.12, browser --> www.sterlicht.nl/astroblogs/slAb035_m13.html
sterlicht.nl: 2014-11-03 10:50:33 [access] ip: 66.249.67.2, browser --> www.sterlicht.nl/astroblogs/slAb055_venus_klein.html
sterlicht.nl: 2014-11-03 12:57:42 [access] ip: 64.246.165.10, http://whois.domaintools.com/sterlicht.nl --> www.sterlicht.nl/
sterlicht.nl: 2014-11-03 13:24:15 [access] ip: 157.55.39.211, browser --> www.sterlicht.nl/slAb025_m48.html
sterlicht.nl: 2014-11-03 15:39:20 [access] ip: 66.249.67.20, browser --> www.sterlicht.nl/presentations.html
sterlicht.nl: 2014-11-03 15:59:09 [access] ip: 66.249.67.2, browser --> www.sterlicht.nl/astroblogs/slAb023_wassende_maan.html
sterlicht.nl: 2014-11-03 16:06:30 [access] ip: 66.249.67.12, browser --> www.sterlicht.nl/
sterlicht.nl: 2014-11-03 18:28:08 [access] ip: 66.249.67.12, browser --> www.sterlicht.nl/astroblogs/slAb023_wassende_maan.html
sterlicht.nl: 2014-11-03 19:03:59 [access] ip: 157.55.39.251, browser --> www.sterlicht.nl/
sterlicht.nl: 2014-11-03 19:04:15 [access] ip: 157.55.39.128, browser --> www.sterlicht.nl/introduction.html
sterlicht.nl: 2014-11-03 19:04:28 [access] ip: 207.46.13.93, browser --> www.sterlicht.nl/structure.html
sterlicht.nl: 2014-11-03 19:04:54 [access] ip: 157.55.39.128, browser --> www.sterlicht.nl/introduction.html
sterlicht.nl: 2014-11-03 20:44:26 [access] ip: 66.249.67.20, browser --> www.sterlicht.nl/
sterlicht.nl: 2014-11-03 22:03:44 [access] ip: 207.46.13.93, browser --> www.sterlicht.nl/astroblogs/slAb005_andromeda.html
sterlicht.nl: 2014-11-03 23:14:16 [access] ip: 66.249.67.20, browser --> www.sterlicht.nl/astroblogs/slAb055_venus_klein.html
sterlicht.nl: 2014-11-03 23:35:26 [access] ip: 157.55.39.128, browser --> www.sterlicht.nl/slAb033_kepler_eerste_resultaten.html
sterlicht.nl: 2014-11-03 23:45:28 [access] ip: 157.55.39.128, browser --> www.sterlicht.nl/astroblogs/slAb017_zonnewijzer.html
sterlicht.nl: 2014-11-04 01:32:57 [access] ip: 207.46.13.55, browser --> www.sterlicht.nl/slAb038_galileoscope.html



sterlicht.nl: 2014-11-04 04:16:58 [initialization] application restarted
sterlicht.nl: 2014-11-04 04:16:58 [initialization] table users already exists
sterlicht.nl: 2014-11-04 05:03:54 [access] ip: 66.249.67.12, browser --> www.sterlicht.nl/astroblogs/slAb055_venus_klein.html
sterlicht.nl: 2014-11-04 05:45:06 [access] ip: 66.249.67.20, browser --> www.sterlicht.nl/astroblogs/slAb023_wassende_maan.html
sterlicht.nl: 2014-11-04 07:19:20 [access] ip: 66.249.67.12, browser --> www.sterlicht.nl/
